mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
1,1836.98,43.0,1.0,98.66,0,1,0,0,2,1,3,4,1,3,1,0,1,0,2,3,1,2,1,1,2,2
0,5.67,35.0,0.0,116.69,0,1,1,1,1,0,0,0,0,2,1,1,3,0,1,2,2,3,2,1,1,1
1,1923.87,49.0,0.0,75.85,0,1,1,2,0,1,2,3,1,4,1,1,0,1,3,4,1,1,0,0,3,1
1,1359.63,29.0,1.0,146.81,0,2,0,0,0,1,3,1,0,5,1,1,2,1,0,2,0,1,0,0,0,1
0,92.6,55.0,0.0,152.83,0,2,1,0,1,1,1,2,1,2,1,2,3,0,2,4,0,1,2,3,1,3
1,1464.28,25.0,1.0,43.29,0,2,2,0,0,2,3,1,2,2,2,1,0,0,1,1,2,1,0,0,2,2
1,1462.33,56.0,0.0,8.86,0,3,2,0,0,0,0,2,3,2,1,1,0,1,0,3,0,1,1,0,1,0
1,2536.71,30.0,1.0,429.43,0,1,0,2,1,0,2,4,3,5,0,0,0,0,3,4,2,2,2,1,2,3
1,2795.93,31.0,0.0,10743.11,0,2,1,0,2,0,0,1,1,4,2,0,3,3,1,4,0,1,1,0,1,3
0,139.28,43.0,0.0,123.41,0,3,1,0,2,1,1,4,1,2,0,0,1,1,0,2,2,2,1,0,0,2
0,13.17,56.0,1.0,141.34,0,0,3,2,4,0,2,2,1,6,4,0,1,0,2,5,4,1,0,0,1,2
0,36.91,24.0,1.0,94.92,0,0,2,0,2,2,0,0,0,3,3,1,3,0,0,1,1,2,1,0,1,3
0,31.17,43.0,0.0,63.66,0,0,0,1,2,3,1,5,1,5,1,0,3,1,4,2,3,2,1,1,0,1
0,132.51,36.0,0.0,417.79,0,3,1,1,1,0,1,3,0,4,1,1,1,0,1,4,0,2,0,1,0,0
0,21.29,27.0,0.0,130.07,1,3,3,0,4,2,0,1,1,7,2,2,4,0,1,1,2,2,0,1,0,4
0,0.11,42.0,0.0,186.98,0,0,1,0,0,1,1,2,2,4,0,0,4,0,2,3,1,4,0,3,2,1
1,1396.36,27.0,0.0,57.92,0,1,3,0,3,2,0,2,0,1,1,2,3,0,1,2,0,1,1,2,0,1
0,117.23,42.0,0.0,235.15,0,2,3,2,0,2,0,2,1,3,1,0,3,2,0,1,1,6,1,1,0,1
1,1757.01,29.0,0.0,131.73,0,2,1,3,0,0,1,2,2,5,0,3,2,0,0,2,2,1,1,0,2,2
0,111.72,32.0,1.0,137.09,1,0,2,3,1,1,1,1,1,2,1,1,1,0,1,3,1,2,1,0,1,3
1,2027.33,37.0,0.0,9.09,0,0,1,3,1,2,1,2,1,3,3,1,3,0,5,4,0,1,0,0,1,0
0,271.05,45.0,0.0,96.09,0,2,1,1,2,0,2,4,1,2,1,0,0,2,1,1,0,4,1,0,1,0
1,995.3,29.0,1.0,40.83,0,1,0,0,2,1,1,0,1,0,0,0,1,2,0,2,1,1,1,1,0,2
0,123.16,39.0,1.0,110.56,0,1,3,0,0,2,2,0,1,2,0,1,4,0,0,0,0,1,0,1,0,3
1,1166.46,32.0,0.0,83.98,0,1,1,0,1,3,0,1,2,3,2,0,2,0,1,1,0,1,0,1,1,0
1,1174.24,30.0,0.0,11.79,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,0,1,1,4,1,1,7
0,79.89,44.0,1.0,75.5,0,1,1,0,2,0,0,4,0,1,2,2,4,1,1,2,2,5,1,0,0,5
0,3.5,32.0,0.0,60.01,0,4,0,0,1,1,0,3,0,3,0,0,2,2,1,2,0,2,0,1,2,2
