mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
0,36.32,32.0,0.0,18.05,0,0,1,1,1,0,3,1,0,0,0,1,3,0,1,0,1,2,2,0,1,1
0,182.37,23.0,1.0,182.97,0,0,0,1,0,1,0,1,2,2,1,0,1,1,0,0,0,2,2,1,2,1
0,51.3,29.0,0.0,29.57,0,0,0,1,4,1,0,2,0,3,1,0,3,0,0,0,3,0,0,0,1,4
1,1641.44,44.0,0.0,142.15,1,2,0,1,0,0,0,3,1,4,1,2,1,0,1,1,1,3,0,1,0,5
0,121.46,30.0,0.0,132.11,0,1,1,0,1,3,1,3,1,4,1,1,1,2,1,1,2,3,0,0,2,5
0,117.37,28.0,0.0,85.8,0,1,2,1,1,0,0,1,2,0,0,1,1,1,2,2,1,2,1,1,0,2
0,85.04,46.0,0.0,45.39,0,0,0,1,1,2,1,2,1,2,1,1,3,1,0,3,0,3,4,3,0,0
1,1913.38,35.0,0.0,70.94,0,1,2,2,2,0,0,2,3,5,0,0,1,1,2,1,2,1,0,0,1,2
1,1826.43,26.0,0.0,171.65,0,1,1,0,1,2,0,1,3,6,0,1,0,0,0,2,1,4,0,2,1,5
0,160.3,33.0,0.0,220.04,0,0,1,1,1,0,2,2,1,3,2,0,1,0,3,6,1,1,0,0,1,3
1,1666.7,33.0,0.0,74.4,0,2,1,0,0,2,0,2,1,3,0,1,0,2,0,0,2,3,1,1,2,4
0,5.09,20.0,0.0,163.47,1,1,0,0,1,1,5,3,1,3,0,3,3,1,1,2,0,3,0,0,1,2
0,57.8,43.0,0.0,68.63,0,0,1,1,1,0,1,6,1,5,2,1,1,2,1,4,1,2,2,1,0,2
0,114.48,51.0,1.0,71.1,0,1,3,1,0,1,0,2,0,4,1,1,1,1,0,2,1,1,2,1,2,1
1,1531.14,34.0,1.0,60.13,0,0,0,3,0,2,0,4,0,4,3,1,0,0,0,0,2,3,0,1,1,1
0,196.35,54.0,0.0,266.89,0,1,1,3,4,2,0,3,1,1,0,2,0,1,1,0,1,2,0,0,3,2
1,1582.17,34.0,1.0,79.25,0,1,0,2,1,0,1,3,1,4,1,5,1,1,0,0,0,4,0,2,0,0
1,1726.06,37.0,0.0,10.21,0,2,1,2,0,0,0,0,2,5,2,2,1,2,2,0,3,1,2,1,2,0
1,1903.45,27.0,0.0,22.67,0,2,1,1,1,1,1,1,2,8,0,0,1,2,0,2,1,0,0,1,1,2
0,93.41,22.0,0.0,182.88,0,0,1,3,0,2,1,2,1,4,0,3,1,2,1,6,0,0,3,2,2,2
1,1562.4,64.0,1.0,38.35,0,2,0,1,0,0,1,2,0,3,0,1,1,2,1,3,3,4,0,0,4,1
1,1911.37,34.0,0.0,39.28,0,1,1,0,2,0,0,3,1,5,0,1,3,1,1,4,1,2,0,1,2,2
0,68.54,40.0,0.0,74.32,0,1,0,2,0,1,0,2,1,3,0,0,1,2,0,2,1,5,5,0,0,0
1,2416.73,30.0,0.0,118.09,0,3,1,0,3,2,0,4,1,3,0,1,3,0,2,3,2,2,0,1,1,6
0,63.85,32.0,1.0,3.68,0,0,2,0,0,0,1,2,2,3,1,1,0,2,1,1,2,2,2,0,2,1
1,1944.48,21.0,0.0,250.57,0,2,2,0,0,1,0,4,2,3,0,2,1,0,1,3,2,2,0,1,1,0
0,569.67,74.0,0.0,243.43,0,1,1,3,2,1,0,1,1,1,0,2,4,1,2,3,2,2,1,0,3,2
0,10.09,24.0,1.0,64.05,0,0,1,0,1,1,0,1,1,2,1,1,1,1,1,5,1,4,2,1,1,1
1,934.02,54.0,0.0,213.18,0,0,0,2,0,0,1,2,2,1,0,0,2,1,0,1,1,0,2,3,1,1
1,1428.69,35.0,1.0,68.36,0,0,0,0,1,2,1,1,2,5,1,0,1,1,1,2,0,0,1,0,0,1
1,1634.55,29.0,1.0,89.26,0,1,0,0,0,3,2,2,1,2,2,3,2,1,1,2,1,3,0,1,0,1
1,1866.16,33.0,0.0,75.99,0,2,3,3,1,0,0,3,1,5,1,3,2,1,1,1,0,2,1,2,0,2
0,28.73,25.0,1.0,42.73,0,1,0,2,1,2,0,1,0,5,1,0,1,0,0,3,1,0,0,1,1,3
0,4.7,38.0,0.0,168.1,0,3,1,0,1,0,1,5,4,3,0,2,5,0,1,4,1,1,1,1,1,0
1,1375.33,53.0,1.0,42.46,0,0,1,0,1,1,4,0,4,0,0,1,4,2,3,1,0,0,1,0,1,2
0,48.51,66.0,0.0,124.73,0,0,0,3,4,2,2,3,0,2,1,2,2,2,3,0,3,4,0,2,1,2
1,1645.41,38.0,2.0,4.6,0,0,3,1,3,0,0,2,1,1,1,1,0,1,1,2,2,0,2,1,1,2
1,1680.21,30.0,0.0,43.7,0,3,0,1,0,2,1,3,3,5,0,0,0,0,1,3,0,0,1,2,2,0
1,1137.23,41.0,1.0,0.75,0,2,1,1,1,0,1,2,2,2,1,0,2,0,0,3,0,0,0,2,0,2
