age,income,credit_score,prime_elegible,prime_card,pv,tau,categ
42.5,2813.0,432.0,0,0,1276.41,700.0,complier
46.5,12507.0,488.0,1,1,6415.45,700.0,complier
46.8,4806.0,676.0,1,1,3428.6,700.0,complier
42.7,2825.0,32.0,0,0,1092.34,200.0,never-taker
40.5,1194.0,125.0,0,0,775.32,200.0,never-taker
39.4,6529.0,437.0,0,0,2773.32,700.0,complier
43.7,847.0,250.0,1,1,829.8199999999999,700.0,complier
42.3,18253.0,215.0,0,0,7488.11,700.0,complier
40.6,1572.0,465.0,0,0,1423.38,700.0,complier
42.2,1144.0,95.0,0,0,366.34,199.99999999999994,never-taker
39.5,1964.0,124.0,0,0,1486.59,200.0,never-taker
44.8,13211.0,619.0,0,0,6388.1,700.0,complier
40.2,7413.0,195.0,1,0,3909.33,200.0,never-taker
46.9,5803.0,158.0,0,0,3463.65,200.0,never-taker
43.6,9705.0,380.0,0,0,4500.24,700.0,complier
44.4,8670.0,591.0,1,1,4585.9400000000005,700.0000000000005,complier
37.6,4147.0,508.0,1,1,2642.8,700.0000000000002,complier
42.7,2543.0,168.0,1,0,1957.29,200.0,never-taker
45.0,5331.0,164.0,0,0,3413.52,200.0,never-taker
38.2,5951.0,573.0,0,0,3035.9,700.0,complier
40.9,4444.0,546.0,1,1,2682.02,700.0,complier
42.1,548.0,88.0,0,0,836.33,199.9999999999999,never-taker
36.5,629.0,561.0,0,0,428.44,700.0,complier
43.3,1026.0,110.0,1,0,1214.09,200.0,never-taker
45.4,6783.0,202.0,1,1,3742.58,700.0,complier
38.6,5567.0,328.0,0,0,2398.36,700.0,complier
43.4,8941.0,195.0,1,0,3817.97,200.0,never-taker
36.8,11058.0,84.0,0,0,5064.58,200.0,never-taker
41.8,2510.0,43.0,1,0,1710.2,200.0,never-taker
35.5,3907.0,317.0,1,1,3205.8,700.0,complier
46.5,2346.0,59.0,0,0,1785.79,200.0,never-taker
43.6,2728.0,16.0,0,0,1062.94,200.0,never-taker
41.9,3066.0,100.0,1,0,1240.96,200.0,never-taker
38.9,6167.0,250.0,0,0,3145.55,700.0,complier
47.1,4769.0,454.0,1,1,2739.96,700.0,complier
49.9,10936.0,117.0,1,0,5772.36,200.0,never-taker
34.6,2184.0,284.0,1,1,1592.22,700.0,complier
46.9,980.0,144.0,0,0,1460.83,200.0,never-taker
48.5,1470.0,326.0,1,1,1767.64,700.0,complier
43.4,9843.0,641.0,0,0,4598.95,700.0,complier
37.2,778.0,300.0,0,0,268.11,700.0,complier
45.5,8972.0,630.0,0,0,4204.79,700.0,complier
41.3,11022.0,73.0,1,0,4961.6,200.0,never-taker
39.6,3774.0,119.0,0,0,2145.95,200.0,never-taker
37.1,9434.0,132.0,0,0,4649.47,200.0,never-taker
44.2,5714.0,778.0,0,0,2431.42,700.0,complier
45.2,7319.0,278.0,0,0,3147.58,700.0,complier
39.5,5185.0,134.0,0,0,2702.88,200.0,never-taker
